outer_fold,context,config_key,family_key,family_label,parameter_count,regularization,primary_eligible,mean_fold_loss,fold_loss_se,pooled_log_mse,pooled_mae_s,pooled_rmse_s,pooled_pearson_r,pooled_spearman_rho
1,outer_1_inner_training_only,identity__lambda_0,identity,Identity,0,0.0,True,3.010395887384451,0.6349645272666302,3.183740535126382,970.8651867526949,1232.2984723447476,0.6913168895821307,0.6431733663911257
1,outer_1_inner_training_only,signed_exponential_1p__lambda_0,signed_exponential_1p,Signed exponential (1 parameter),1,0.0,True,1.2749233438283518,0.3883947411593647,1.4444360980948574,264.11213574912,412.83285651931124,0.6578369409332138,0.5991203960903636
1,outer_1_inner_training_only,signed_exponential_1p__lambda_0.001,signed_exponential_1p,Signed exponential (1 parameter),1,0.001,True,1.2749329851017044,0.38836972138878356,1.4444443031901528,264.1260860631566,412.8516443252262,0.6578393513446457,0.5991203960903636
1,outer_1_inner_training_only,signed_exponential_1p__lambda_0.01,signed_exponential_1p,Signed exponential (1 parameter),1,0.01,True,1.2750201227917548,0.3881445031381582,1.444518510403227,264.2517721817297,413.0209233822109,0.6578610486174346,0.5991203960903636
1,outer_1_inner_training_only,signed_exponential_1p__lambda_0.1,signed_exponential_1p,Signed exponential (1 parameter),1,0.1,True,1.275942397813439,0.385892405463431,1.445312336185361,265.522503813955,414.733634238782,0.6580777946489171,0.5991203960903636
1,outer_1_inner_training_only,signed_exponential_1p__lambda_1,signed_exponential_1p,Signed exponential (1 parameter),1,1.0,True,1.2911438377697173,0.36352986938777604,1.459325450699913,279.8102180744541,434.13552846843857,0.6601800352002127,0.5991203960903636
1,outer_1_inner_training_only,signed_exponential_1p__lambda_10,signed_exponential_1p,Signed exponential (1 parameter),1,10.0,True,2.0887669103925446,0.5259673335093918,2.2426858561726677,660.5143666387056,883.3878676261626,0.6835624277610594,0.6365654208460114
1,outer_1_inner_training_only,bernstein_degree_2__lambda_0,bernstein_degree_2,Monotone Bernstein degree 2 (1 parameter),1,0.0,True,2.1876217058366474,0.5071830055731248,2.3538590328878395,714.4282411215743,952.6478962181942,0.7004432899480523,0.6167415842106685
1,outer_1_inner_training_only,bernstein_degree_2__lambda_0.001,bernstein_degree_2,Monotone Bernstein degree 2 (1 parameter),1,0.001,True,2.1876217058366474,0.5071830055731248,2.3538590328878395,714.4282411215743,952.6478962181942,0.7004432899480523,0.6167415842106685
1,outer_1_inner_training_only,bernstein_degree_2__lambda_0.01,bernstein_degree_2,Monotone Bernstein degree 2 (1 parameter),1,0.01,True,2.1876217058366474,0.5071830055731248,2.3538590328878395,714.4282411215743,952.6478962181942,0.7004432899480523,0.6167415842106685
1,outer_1_inner_training_only,bernstein_degree_2__lambda_0.1,bernstein_degree_2,Monotone Bernstein degree 2 (1 parameter),1,0.1,True,2.1876217058366474,0.5071830055731248,2.3538590328878395,714.4282411215743,952.6478962181942,0.7004432899480523,0.6167415842106685
1,outer_1_inner_training_only,bernstein_degree_2__lambda_1,bernstein_degree_2,Monotone Bernstein degree 2 (1 parameter),1,1.0,True,2.1876217058366474,0.5071830055731248,2.3538590328878395,714.4282411215743,952.6478962181942,0.7004432899480523,0.6167415842106685
1,outer_1_inner_training_only,bernstein_degree_2__lambda_10,bernstein_degree_2,Monotone Bernstein degree 2 (1 parameter),1,10.0,True,2.2248735403908366,0.5130919960459964,2.389944683066561,723.1514051614062,959.4024924495051,0.6964930879186337,0.6365654208460114
1,outer_1_inner_training_only,bernstein_degree_3__lambda_0,bernstein_degree_3,Monotone Bernstein degree 3 (2 parameters),2,0.0,True,1.8046233185743712,0.4265741022490651,1.9674580773056307,584.6474894239985,808.4408234290896,0.6985557940581142,0.6167415842106685
1,outer_1_inner_training_only,bernstein_degree_3__lambda_0.001,bernstein_degree_3,Monotone Bernstein degree 3 (2 parameters),2,0.001,True,1.8046233185743712,0.4265741022490651,1.9674580773056307,584.6474894239985,808.4408234290896,0.6985557940581142,0.6167415842106685
1,outer_1_inner_training_only,bernstein_degree_3__lambda_0.01,bernstein_degree_3,Monotone Bernstein degree 3 (2 parameters),2,0.01,True,1.8046233185743712,0.4265741022490651,1.9674580773056307,584.6474894239985,808.4408234290896,0.6985557940581142,0.6167415842106685
1,outer_1_inner_training_only,bernstein_degree_3__lambda_0.1,bernstein_degree_3,Monotone Bernstein degree 3 (2 parameters),2,0.1,True,1.8046233185743712,0.4265741022490651,1.9674580773056307,584.6474894239985,808.4408234290896,0.6985557940581142,0.6167415842106685
1,outer_1_inner_training_only,bernstein_degree_3__lambda_1,bernstein_degree_3,Monotone Bernstein degree 3 (2 parameters),2,1.0,True,1.8046233185743712,0.4265741022490651,1.9674580773056307,584.6474894239985,808.4408234290896,0.6985557940581142,0.6167415842106685
1,outer_1_inner_training_only,bernstein_degree_3__lambda_10,bernstein_degree_3,Monotone Bernstein degree 3 (2 parameters),2,10.0,True,2.1607961500548294,0.5300027463472134,2.317590851864374,688.8408455868092,919.6280102103594,0.6874617042923625,0.6365654208460114
1,outer_1_inner_training_only,bernstein_degree_4__lambda_0,bernstein_degree_4,Monotone Bernstein degree 4 (3 parameters),3,0.0,True,1.5704151204880055,0.3731155838202862,1.729775860222802,499.2448733819539,712.8282942628069,0.694964667945787,0.6233495297557827
1,outer_1_inner_training_only,bernstein_degree_4__lambda_0.001,bernstein_degree_4,Monotone Bernstein degree 4 (3 parameters),3,0.001,True,1.5704151204880055,0.3731155838202862,1.729775860222802,499.24487338195377,712.8282942628069,0.694964667945787,0.6233495297557827
1,outer_1_inner_training_only,bernstein_degree_4__lambda_0.01,bernstein_degree_4,Monotone Bernstein degree 4 (3 parameters),3,0.01,True,1.5704151204880055,0.3731155838202862,1.729775860222802,499.24487338195377,712.8282942628069,0.694964667945787,0.6233495297557827
1,outer_1_inner_training_only,bernstein_degree_4__lambda_0.1,bernstein_degree_4,Monotone Bernstein degree 4 (3 parameters),3,0.1,True,1.5704151204880055,0.3731155838202862,1.729775860222802,499.24487338195377,712.8282942628069,0.694964667945787,0.6233495297557827
1,outer_1_inner_training_only,bernstein_degree_4__lambda_1,bernstein_degree_4,Monotone Bernstein degree 4 (3 parameters),3,1.0,True,1.5704151204880055,0.3731155838202862,1.7297758602228017,499.2448733819538,712.8282942628069,0.694964667945787,0.6233495297557827
1,outer_1_inner_training_only,bernstein_degree_4__lambda_10,bernstein_degree_4,Monotone Bernstein degree 4 (3 parameters),3,10.0,True,2.127161462741973,0.5254559460185644,2.2832329130569007,677.5614592464066,902.8490692401296,0.6883494808803986,0.6365654208460114
1,outer_1_inner_training_only,bernstein_degree_5__lambda_0,bernstein_degree_5,Monotone Bernstein degree 5 (4 parameters),4,0.0,True,1.4110860058367731,0.3388011827843974,1.56711083410559,441.8907337201985,642.3874999001005,0.6908991235764331,0.6233495297557827
1,outer_1_inner_training_only,bernstein_degree_5__lambda_0.001,bernstein_degree_5,Monotone Bernstein degree 5 (4 parameters),4,0.001,True,1.4110860058367727,0.3388011827843976,1.5671108341055897,441.8907337201984,642.3874999001005,0.6908991235764329,0.6233495297557827
1,outer_1_inner_training_only,bernstein_degree_5__lambda_0.01,bernstein_degree_5,Monotone Bernstein degree 5 (4 parameters),4,0.01,True,1.4110860058367727,0.3388011827843976,1.5671108341055897,441.8907337201984,642.3874999001004,0.690899123576433,0.6233495297557827
1,outer_1_inner_training_only,bernstein_degree_5__lambda_0.1,bernstein_degree_5,Monotone Bernstein degree 5 (4 parameters),4,0.1,True,1.4110860058367733,0.33880118278439797,1.5671108341055906,441.8907337201985,642.3874999001006,0.690899123576433,0.6233495297557827
1,outer_1_inner_training_only,bernstein_degree_5__lambda_1,bernstein_degree_5,Monotone Bernstein degree 5 (4 parameters),4,1.0,True,1.4226332980847296,0.3350870463820544,1.5791948514820464,444.40895285606587,643.6944788305838,0.6900162099474276,0.6233495297557827
1,outer_1_inner_training_only,bernstein_degree_5__lambda_10,bernstein_degree_5,Monotone Bernstein degree 5 (4 parameters),4,10.0,True,2.1138435483718734,0.5242905042102743,2.268024296792096,670.8909649799796,893.575322304276,0.6878329896446277,0.6365654208460114
2,outer_2_inner_training_only,identity__lambda_0,identity,Identity,0,0.0,True,2.831990607268004,0.7983948119821875,2.9531716536310375,938.5425471872142,1221.5539124911738,0.7113478878288587,0.6512655206072254
2,outer_2_inner_training_only,signed_exponential_1p__lambda_0,signed_exponential_1p,Signed exponential (1 parameter),1,0.0,True,2.271484065640203,0.5450943239305827,2.997047971728857,460.5455375259838,642.2966125712597,0.6668481906336455,0.47964825504180797
2,outer_2_inner_training_only,signed_exponential_1p__lambda_0.001,signed_exponential_1p,Signed exponential (1 parameter),1,0.001,True,2.2715142571320603,0.5450515061452343,2.9970710273207004,460.56364431979864,642.3196213805422,0.6668482977724736,0.47964825504180797
2,outer_2_inner_training_only,signed_exponential_1p__lambda_0.01,signed_exponential_1p,Signed exponential (1 parameter),1,0.01,True,2.2717860212118763,0.5446658872657731,2.9972784433643995,460.726671160683,642.5267998930973,0.6668492698181702,0.47964825504180797
2,outer_2_inner_training_only,signed_exponential_1p__lambda_0.1,signed_exponential_1p,Signed exponential (1 parameter),1,0.1,True,2.274513112902949,0.5407870883120516,2.9993516774718505,462.3622533823763,644.6054492294626,0.6668583795423031,0.47964825504180797
2,outer_2_inner_training_only,signed_exponential_1p__lambda_1,signed_exponential_1p,Signed exponential (1 parameter),1,1.0,True,2.302504344385209,0.4994869064164192,3.019560209570717,479.2823876791631,666.1358421110843,0.6668899284893689,0.47964825504180797
2,outer_2_inner_training_only,signed_exponential_1p__lambda_10,signed_exponential_1p,Signed exponential (1 parameter),1,10.0,True,2.067825922514233,0.6456601983190697,2.2282258902394596,656.4686180632999,918.2427233723106,0.6965500190252173,0.6160619789527808
2,outer_2_inner_training_only,bernstein_degree_2__lambda_0,bernstein_degree_2,Monotone Bernstein degree 2 (1 parameter),1,0.0,True,2.053719510882053,0.631330347615124,2.199566626419618,679.9824854376363,946.1395205883877,0.7191314065554125,0.6402644138402115
2,outer_2_inner_training_only,bernstein_degree_2__lambda_0.001,bernstein_degree_2,Monotone Bernstein degree 2 (1 parameter),1,0.001,True,2.053719510882053,0.631330347615124,2.199566626419618,679.9824854376363,946.1395205883877,0.7191314065554125,0.6402644138402115
2,outer_2_inner_training_only,bernstein_degree_2__lambda_0.01,bernstein_degree_2,Monotone Bernstein degree 2 (1 parameter),1,0.01,True,2.053719510882053,0.631330347615124,2.199566626419618,679.9824854376363,946.1395205883877,0.7191314065554125,0.6402644138402115
2,outer_2_inner_training_only,bernstein_degree_2__lambda_0.1,bernstein_degree_2,Monotone Bernstein degree 2 (1 parameter),1,0.1,True,2.053719510882053,0.631330347615124,2.199566626419618,679.9824854376363,946.1395205883877,0.7191314065554126,0.6402644138402115
