outer_fold,context,config_key,family_key,family_label,parameter_count,regularization,primary_eligible,mean_fold_loss,fold_loss_se,pooled_log_mse,pooled_mae_s,pooled_rmse_s,pooled_pearson_r,pooled_spearman_rho
1,outer_1_inner_training_only,identity__lambda_0,identity,Identity,0,0.0,True,6.205886696415332,2.022618933352687,6.265415257217386,642.9355836585967,933.0161709231779,0.26826868831073775,0.4091584965807528
1,outer_1_inner_training_only,signed_exponential_1p__lambda_0,signed_exponential_1p,Signed exponential (1 parameter),1,0.0,True,6.404218360238794,1.8998592338000686,6.482839428399674,807.7867655109383,1159.7957619423591,0.28637910244371545,0.39438743172224194
1,outer_1_inner_training_only,signed_exponential_1p__lambda_0.001,signed_exponential_1p,Signed exponential (1 parameter),1,0.001,True,6.404193726280684,1.899866240833068,6.482809509298219,807.7419366373165,1159.7261449233374,0.28637794383602244,0.39438743172224194
1,outer_1_inner_training_only,signed_exponential_1p__lambda_0.01,signed_exponential_1p,Signed exponential (1 parameter),1,0.01,True,6.403968792749993,1.8999308438012352,6.482537603069138,807.3386249016047,1159.100328055859,0.28636730374517194,0.39438743172224194
1,outer_1_inner_training_only,signed_exponential_1p__lambda_0.1,signed_exponential_1p,Signed exponential (1 parameter),1,0.1,True,6.401422364150841,1.9007359555581127,6.479572464330325,803.321739547793,1152.9223062526587,0.2862400540267892,0.39438743172224194
1,outer_1_inner_training_only,signed_exponential_1p__lambda_1,signed_exponential_1p,Signed exponential (1 parameter),1,1.0,True,6.361543535937272,1.9211140004330653,6.437805786682393,767.2546316444055,1101.907596486256,0.2835762513123515,0.39438743172224194
1,outer_1_inner_training_only,signed_exponential_1p__lambda_10,signed_exponential_1p,Signed exponential (1 parameter),1,10.0,True,6.259795046617494,1.9883133262699815,6.3260332063005125,684.961397297272,990.6013739275295,0.2742988254829744,0.4091584965807528
1,outer_1_inner_training_only,bernstein_degree_2__lambda_0,bernstein_degree_2,Monotone Bernstein degree 2 (1 parameter),1,0.0,True,6.273373993618028,1.9752308137867733,6.353198241883632,730.6747412820016,1063.55930800193,0.27665302753701776,0.39438743172224194
1,outer_1_inner_training_only,bernstein_degree_2__lambda_0.001,bernstein_degree_2,Monotone Bernstein degree 2 (1 parameter),1,0.001,True,6.273402296288352,1.9752335435338468,6.353221546234391,730.6737550332355,1063.5583147503928,0.2766537269716829,0.39438743172224194
1,outer_1_inner_training_only,bernstein_degree_2__lambda_0.01,bernstein_degree_2,Monotone Bernstein degree 2 (1 parameter),1,0.01,True,6.273656517125697,1.9752579940300432,6.353430814793697,730.6648875011506,1063.5493830206187,0.2766600164841355,0.39438743172224194
